Image,Brand,Polish,Color,Finishes/Types,Link,Coats,Rating,Notes
,KBShimmer,Take Back CTRL,Pink,Creme,https://www.kbshimmer.com/take-back-ctrl-nail-polish/,,,
,KBShimmer,Tapped Out (R),Blue,"Reflective Glitter, Shimmer, Creme",https://www.kbshimmer.com/tapped-out-reflective-nail-polish/,2,B,"Thick and chunky, but beautiful. Might be better with some thinner."
,KBShimmer,Teal Another Tail,Teal,"Holo Glitter, Shimmer",https://curbappealnails.blogspot.com/2014/09/kbshimmer-teal-another-tail.html,,,
,KBShimmer,Vitamin Sea,Teal,"Chunky Glitter, Micro Holo Glitter, Jelly",https://curbappealnails.blogspot.com/2015/06/kbshimmer-vitamin-sea-swatches.html,,,
,Kleancolor,Mocha,Pink,Creme,,,,
,Kleancolor,Pearl Beige,Pink,"Shimmer, Glass Fleck",,,,
,Konad,zzz *unmarked*,Black,"Stamping, Creme",,,,
,Konad,zzz *unmarked*,White,"Stamping, Creme",,,,
,L.A. Colors Art Deco,zzz *unmarked*,Black,"Striping, Creme",,,,
,L.A. Colors Art Deco,zzz *unmarked*,Black,"Striping, Creme, Duplicate",,,,
,L.A. Colors Art Deco,Gold Glitter,Gold,"Striping, Glitter",,,,
,L.A. Colors Art Deco,Purple Blue Glitter,Multi,"Striping, Glitter",,,,
,L.A. Colors Art Deco,Hot Pink,Pink,"Striping, Creme",,,,
,L.A. Colors Art Deco,Intense Pink,Pink,"Striping, Creme",,,,
,L.A. Colors Art Deco,Silver,Silver,"Striping, Metallic",,,,
,L.A. Colors Art Deco,Silver Glitter,Silver,"Striping, Glitter",,,,
,L.A. Colors Art Deco,White,White,"Striping, Creme",,,,
,L.A. Colors Art Deco,White,White,"Striping, Creme, Duplicate",,,,
,L.A. Colors Color Craze,Broken Hearted,Red,"Iridescent Glitter, Iridescent Flakie, Jelly, Topper",https://www.princesslypolished.com/2012/11/new-la-colors-candy-sprinkles-flurry.html,,,
,L.A. Colors Color Craze,Cocktail,Pink,"Holo Glitter, Glitter",http://www.iwetto.com/2013/03/delicatessen.html,,,
,L.A. Colors Color Craze,Confetti,Multi,Chunky Glitter,https://lovinnailz.blogspot.com/2012/12/la-colors-color-craze-confetti-swatches.html,,,
,Lancome Vernis In Love,147M Rouge Valentine,Red,Creme,https://curbappealnails.blogspot.com/2014/10/wet-n-wild-wet-cement-freehand-hearts.html,3,A-,"3 thin coats, almost a crelly, nice formula "
,Lancome Vernis In Love,350M Rose Thé,Pink,Creme,https://curbappealnails.blogspot.com/2014/11/lancome-vernis-in-love-350m-rose-the.html,,,
,Lancome Vernis In Love,522 Bubbly Gold,Gold,Metallic,https://makeupandbeautyblog.com/product-reviews/well-always-have-paris-the-sparkling-lancome-petit-tresor-holiday-collection/,,,
,Lancome Vernis In Love,575 Flirty Red,Red,Shimmer,https://catdoccannon.blogspot.com/2013/09/lancome-in-love-575-flirty-red.html,,,
,Loreal,B. Strong - Bijou Gems,Green,Shimmer,https://polishedclawsup.blogspot.com/2011/12/old-and-new-loreal-bijou-gems-b-strong.html,,,
,Loreal,Sequin Explosion,Multi,"Chunky Glitter, Glitter, Mini",https://www.britnails.co.uk/2013/08/loreal-sequin-explosion.html,,,
,Maybelline,Magic Merlot,Red,Creme,,,,
,Milani Color Statement,Peri-Wink,Blue,"Creme, Shimmer",https://curbappealnails.blogspot.com/2015/08/milani-color-statement-peri-wink-bps-lace-sticker-decals.html,,,
